Ward,Division,Address,latitude,longitude,Name,Building Accessibility,Parking Accessibility
63.0,15.0,VERREE RD & ALBURGER AVE,40.0947810835591,-75.0507528895398,BALDI SCHOOL,M,L
63.0,16.0,934 ALBURGER AVE,40.0923728216545,-75.0487386809636,LEHIGH BAPTIST CHURCH,R,L
63.0,17.0,8600 A VERREE ROAD,40.0902252349584,-75.0571701554839,PENNYPACK ENVIRONMENTAL CENTER,F,L
63.0,18.0,SHARON LA & ALICIA ST,40.0961810493045,-75.0577022736843,GREENBERG SCHOOL,R,L
63.0,19.0,SHARON LA & ALICIA ST,40.0961810493045,-75.0577022736843,GREENBERG SCHOOL,R,L
63.0,20.0,VERREE RD & ALBURGER AVE,40.0947810835591,-75.0507528895398,BALDI SCHOOL,M,L
63.0,21.0,608 WELSH ROAD,40.1031581113736,-75.0521393518025,ST THOMAS SYRO MALABAR CHURCH,F,H
63.0,22.0,VERREE RD & ALBURGER AVE,40.0947810835591,-75.0507528895398,BALDI SCHOOL,M,L
63.0,23.0,8580 VERREE ROAD,40.0835390487921,-75.0657950345537,LAFAYETTE REDEEMER ROOM,M,H
63.0,24.0,VERREE RD & ALBURGER AVE,40.0947810835591,-75.0507528895398,BALDI SCHOOL,M,L
63.0,25.0,1104 WELSH RD,40.0895252432635,-75.0478222997738,CHAPEL MANOR NURSING HOME,M,L
64.0,1.0,FRANKFORD AVE & STANWOOD S,40.0429521519648,-75.0238842639066,T     BROWN SCHOOL,A,L
64.0,2.0,8040 ROWLAND AVE,40.04715551639,-75.0306699777531,PARK TERRACE APTS COMM ROOM,M,L
64.0,3.0,FRANKFORD AVE & STANWOOD S,40.0429521519648,-75.0238842639066,T     BROWN SCHOOL,A,L
64.0,4.0,FRANKFORD AVE & HARTEL ST,40.0404189549443,-75.0308434266245,FIRE ENGINE CO # 36,F,L
64.0,5.0,FRANKFORD AVE & HARTEL ST,40.0404189549443,-75.0308434266245,FIRE ENGINE CO # 36,F,L
64.0,6.0,7800 ROWLAND AVE,40.0444051964701,-75.0343764949324,LANSING KNIGHTS YOUTH CLUB,M,N
64.0,7.0,8205 ROOSEVELT BLVD,40.0599044202419,-75.0434657504952,FIRE ENGINE CO # 18,M,L
64.0,8.0,3201 RYAN AVE,40.0695744003999,-75.2040024356802,LINCOLN HIGH SCHOOL,F,H
64.0,9.0,3201 RYAN AVE,40.0695744003999,-75.2040024356802,LINCOLN HIGH SCHOOL,F,H
64.0,10.0,3201 RYAN AVE,40.0695744003999,-75.2040024356802,LINCOLN HIGH SCHOOL,F,H
64.0,11.0,3301 COTTMAN AVE,40.0396159154694,-75.0452968949886,FLUEHR FUNERAL HOME,M,L
64.0,12.0,HAWTHORNE & PRINCETON AVE,40.0384772548265,-75.0518001419437,MAYFAIR SCHOOL,A,L
64.0,13.0,3201 RYAN AVE,40.0695744003999,-75.2040024356802,LINCOLN HIGH SCHOOL,F,H
64.0,14.0,3201 RYAN AVE,40.0695744003999,-75.2040024356802,LINCOLN HIGH SCHOOL,F,H
64.0,15.0,8205 ROOSEVELT BLVD,40.0599044202419,-75.0434657504952,FIRE ENGINE CO # 18,M,L
64.0,16.0,3001 RYAN AVE,40.045883404212,-75.0437891935326,MEEHAN MIDDLE SCHOOL,M,L
64.0,17.0,3001 RYAN AVE,40.045883404212,-75.0437891935326,MEEHAN MIDDLE SCHOOL,M,L
64.0,18.0,3001 RYAN AVE,40.045883404212,-75.0437891935326,MEEHAN MIDDLE SCHOOL,M,L
65.0,1.0,4500 LINDEN AVE,40.0526121289701,-75.0037473550375,TORRESDALE YOUTH CLUB,F,L
65.0,2.0,4500 LINDEN AVE,40.0526121289701,-75.0037473550375,TORRESDALE YOUTH CLUB,F,L
65.0,3.0,FRANKFORD AVE & LINDEN ST,40.0547486958463,-75.0047956843789,FIRE ENGINE CO #46,M,L
65.0,4.0,5100 CONVENT LA///CLUBHOUS,40.0474768271161,-74.987162770976,E     BAKERS BAY CONDOMINIUMS,M,L
65.0,5.0,FRANKFORD AVE & LINDEN ST,40.0547486958463,-75.0047956843789,FIRE ENGINE CO #46,M,L
